time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1733763414.55860519,0.00639299,2343,0.00079504,0.00000000,0,0.00000000,8639,8943,557,0.00018137
1733763414.55860519,0.01127276,2343,0.00149926,0.00000000,0,0.00000000,8943,8974,278,0.00021086
1733763414.63060689,0.00904592,2588,0.00075187,0.00000000,0,0.00000000,8974,9102,241,0.00023302
1733763414.63060689,0.00770510,2588,0.00049801,0.00000000,0,0.00000000,9102,9156,113,0.00016035
1733763414.70260835,0.01079704,3115,0.00118249,0.00000000,0,0.00000000,9156,9310,518,0.00015451
1733763414.70260835,0.01134734,3115,0.00117816,0.00000000,0,0.00000000,9310,9352,264,0.00009346
1733763414.77460980,0.01020185,1767,0.00137768,0.00000000,0,0.00000000,9352,9471,360,0.00012158
1733763414.77460980,0.00577199,1767,0.00095236,0.00000000,0,0.00000000,9471,9447,204,0.00012272
1733763414.84961152,0.00584518,2516,0.00058344,0.00000000,0,0.00000000,9447,9675,337,0.00028148
1733763414.84961152,0.00463221,2516,0.00047469,0.00000000,0,0.00000000,9675,9750,152,0.00024097
1733763414.92161298,0.00894886,2717,0.00104478,0.00000000,0,0.00000000,9504,9855,573,0.00022858
1733763414.92161298,0.01027694,2717,0.00154125,0.00000000,0,0.00000000,9855,9892,293,0.00023980
1733763414.99361467,0.00490003,1797,0.00048532,0.00000000,0,0.00000000,9892,10065,287,0.00017999
1733763414.99361467,0.00674541,1797,0.00081076,0.00000000,0,0.00000000,10065,10102,145,0.00020941
1733763415.06561613,0.00538521,2797,0.00073248,0.00000000,0,0.00000000,10102,10399,545,0.00025813
1733763415.06561613,0.00866332,2797,0.00097407,0.00000000,0,0.00000000,10399,10435,282,0.00013921
1733763415.13761759,0.01156192,1957,0.00193914,0.00000000,0,0.00000000,10435,10637,480,0.00016531
1733763415.13761759,0.00862102,1957,0.00097188,0.00000000,0,0.00000000,10637,10719,227,0.00024570
1733763415.20961928,0.00954577,2222,0.00083586,0.00000000,0,0.00000000,10719,10899,347,0.00029592
1733763415.20961928,0.00659471,2222,0.00055173,0.00000000,0,0.00000000,10899,10904,177,0.00007231
1733763415.28162074,0.01096415,2821,0.00085864,0.00000000,0,0.00000000,10904,11139,543,0.00014886
1733763415.28162074,0.01068322,2821,0.00093866,0.00000000,0,0.00000000,11139,11178,297,0.00025137
1733763415.35662222,0.00576512,1624,0.00050640,0.00000000,0,0.00000000,10079,10347,278,0.00016944
1733763415.35662222,0.00759858,1624,0.00095487,0.00000000,0,0.00000000,10347,10425,147,0.00019265
1733763415.42862391,0.01106410,2274,0.00072298,0.00000000,0,0.00000000,10425,10740,356,0.00017235
1733763415.42862391,0.00595181,2274,0.00048867,0.00000000,0,0.00000000,10740,10836,151,0.00015683
1733763415.50062537,0.01281904,2413,0.00128078,0.00000000,0,0.00000000,10836,11143,499,0.00013510
1733763415.50062537,0.01299494,2413,0.00092779,0.00000000,0,0.00000000,11143,11274,251,0.00017366
1733763415.57262683,0.01128327,1967,0.00107132,0.00000000,0,0.00000000,11274,11397,298,0.00021105
1733763415.57262683,0.00994125,1967,0.00059419,0.00000000,0,0.00000000,11397,11422,166,0.00014457
1733763415.64462852,0.01518524,2623,0.00090012,0.00000000,0,0.00000000,11422,11604,433,0.00023287
1733763415.64462852,0.01075521,2623,0.00089868,0.00000000,0,0.00000000,11604,11675,227,0.00015099
1733763415.71662998,0.00778001,1849,0.00072336,0.00000000,0,0.00000000,11675,11894,348,0.00012495
1733763415.71662998,0.00952235,1849,0.00108059,0.00000000,0,0.00000000,11894,11904,173,0.00011593
1733763415.78863144,0.01278826,2101,0.00155628,0.00000000,0,0.00000000,11904,12059,341,0.00009105
1733763415.78863144,0.00894589,2101,0.00117549,0.00000000,0,0.00000000,12059,12058,172,0.00007142
1733763415.86063313,0.01254644,2965,0.00097752,0.00000000,0,0.00000000,12058,12349,546,0.00018704
1733763415.86063313,0.01201448,2965,0.00064269,0.00000000,0,0.00000000,12349,12383,282,0.00009499
1733763415.93263459,0.01111128,2027,0.00136628,0.00000000,0,0.00000000,12383,12547,407,0.00007379
1733763415.93263459,0.00914934,2027,0.00078289,0.00000000,0,0.00000000,12285,12426,219,0.00010402
1733763416.00463605,0.00671813,2452,0.00056223,0.00000000,0,0.00000000,12426,12611,344,0.00006543
1733763416.00463605,0.00782994,2452,0.00051320,0.00000000,0,0.00000000,12611,12638,154,0.00014957
1733763416.07663774,0.01535560,2909,0.00178219,0.00000000,0,0.00000000,12638,13081,618,0.00014318
1733763416.07663774,0.01023132,2909,0.00119578,0.00000000,0,0.00000000,12909,12969,307,0.00016906
1733763416.15163922,0.01200676,2039,0.00122158,0.00000000,0,0.00000000,12969,13153,420,0.00013356
1733763416.15163922,0.00959220,2039,0.00124561,0.00000000,0,0.00000000,13153,13235,233,0.00011301
1733763416.22364092,0.01378944,2485,0.00149627,0.00000000,0,0.00000000,13235,13405,417,0.00026401
1733763416.22364092,0.00785319,2485,0.00055683,0.00000000,0,0.00000000,13405,13432,194,0.00015418
1733763416.29264235,0.01317071,2403,0.00166830,0.00000000,0,0.00000000,13432,13763,492,0.00007529
1733763416.29264235,0.01058694,2403,0.00154979,0.00000000,0,0.00000000,13763,13851,231,0.00020780
1733763416.36464381,0.00775503,2296,0.00083347,0.00000000,0,0.00000000,13605,13789,353,0.00012636
1733763416.36464381,0.00821680,2296,0.00055577,0.00000000,0,0.00000000,13789,13886,181,0.00005888
1733763416.43664527,0.01707579,2964,0.00181496,0.00000000,0,0.00000000,13886,14166,612,0.00017241
1733763416.43664527,0.00614858,2964,0.00066977,0.00000000,0,0.00000000,14166,14272,289,0.00018629
1733763416.50864697,0.00751611,2114,0.00094141,0.00000000,0,0.00000000,14272,14442,475,0.00010950
1733763416.50864697,0.00551803,2114,0.00065403,0.00000000,0,0.00000000,14308,14401,225,0.00015579
